...1,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3,Short ref,Full ref,coordinateX-WGS84,coordinateY-WGS84
687,Nyctalus_noctula,CriticalFeedingAreasWaterBodies,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
688,Nyctalus_noctula,CriticalFeedingAreasGrassland,Y,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
689,Nyctalus_noctula,CriticalFeedingAreasHedgerows,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
690,Nyctalus_noctula,CriticalFeedingAreasOrchard,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
691,Nyctalus_noctula,CriticalFeedingAreasShrubland,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
692,Nyctalus_noctula,CriticalFeedingAreasOpenHabitat,Y,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
693,Nyctalus_noctula,CriticalFeedingAreasUrbanParKGarden,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
694,Pipistrellus_kuhlii,CriticalFeedingAreasForest,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
695,Pipistrellus_kuhlii,CriticalFeedingAreasWoodedRiparianHabitat,Y,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
696,Pipistrellus_kuhlii,CriticalFeedingAreasWetland,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
697,Pipistrellus_kuhlii,CriticalFeedingAreasWaterBodies,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
698,Pipistrellus_kuhlii,CriticalFeedingAreasGrassland,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
699,Pipistrellus_kuhlii,CriticalFeedingAreasHedgerows,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
700,Pipistrellus_kuhlii,CriticalFeedingAreasOrchard,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
701,Pipistrellus_kuhlii,CriticalFeedingAreasShrubland,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
702,Pipistrellus_kuhlii,CriticalFeedingAreasOpenHabitat,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
703,Pipistrellus_kuhlii,CriticalFeedingAreasUrbanParKGarden,Y,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
704,Pipistrellus_maderensis,CriticalFeedingAreasForest,Y,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Madeira,Rocha (2020),"Rocha, R. (2020) Madeiran pipistrelle Pipistrellus maderensis (Dobson, 1878). Handbook of the Mammals of Europe. Springer, pp. 1-9.",NA,NA,NA,NA,NA,NA,NA
705,Pipistrellus_maderensis,CriticalFeedingAreasWoodedRiparianHabitat,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Madeira,Rocha (2020),"Rocha, R. (2020) Madeiran pipistrelle Pipistrellus maderensis (Dobson, 1878). Handbook of the Mammals of Europe. Springer, pp. 1-9.",NA,NA,NA,NA,NA,NA,NA
706,Pipistrellus_maderensis,CriticalFeedingAreasWetland,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Madeira,Rocha (2020),"Rocha, R. (2020) Madeiran pipistrelle Pipistrellus maderensis (Dobson, 1878). Handbook of the Mammals of Europe. Springer, pp. 1-9.",NA,NA,NA,NA,NA,NA,NA
707,Pipistrellus_maderensis,CriticalFeedingAreasWaterBodies,Y,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Madeira,Rocha (2020),"Rocha, R. (2020) Madeiran pipistrelle Pipistrellus maderensis (Dobson, 1878). Handbook of the Mammals of Europe. Springer, pp. 1-9.",NA,NA,NA,NA,NA,NA,NA
708,Pipistrellus_maderensis,CriticalFeedingAreasGrassland,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Madeira,Rocha (2020),"Rocha, R. (2020) Madeiran pipistrelle Pipistrellus maderensis (Dobson, 1878). Handbook of the Mammals of Europe. Springer, pp. 1-9.",NA,NA,NA,NA,NA,NA,NA
709,Pipistrellus_maderensis,CriticalFeedingAreasHedgerows,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Madeira,Rocha (2020),"Rocha, R. (2020) Madeiran pipistrelle Pipistrellus maderensis (Dobson, 1878). Handbook of the Mammals of Europe. Springer, pp. 1-9.",NA,NA,NA,NA,NA,NA,NA
710,Pipistrellus_maderensis,CriticalFeedingAreasOrchard,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Madeira,Rocha (2020),"Rocha, R. (2020) Madeiran pipistrelle Pipistrellus maderensis (Dobson, 1878). Handbook of the Mammals of Europe. Springer, pp. 1-9.",NA,NA,NA,NA,NA,NA,NA
711,Pipistrellus_maderensis,CriticalFeedingAreasShrubland,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Madeira,Rocha (2020),"Rocha, R. (2020) Madeiran pipistrelle Pipistrellus maderensis (Dobson, 1878). Handbook of the Mammals of Europe. Springer, pp. 1-9.",NA,NA,NA,NA,NA,NA,NA
712,Pipistrellus_maderensis,CriticalFeedingAreasOpenHabitat,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Madeira,Rocha (2020),"Rocha, R. (2020) Madeiran pipistrelle Pipistrellus maderensis (Dobson, 1878). Handbook of the Mammals of Europe. Springer, pp. 1-9.",NA,NA,NA,NA,NA,NA,NA
713,Pipistrellus_maderensis,CriticalFeedingAreasUrbanParKGarden,Y,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Madeira,Rocha (2020),"Rocha, R. (2020) Madeiran pipistrelle Pipistrellus maderensis (Dobson, 1878). Handbook of the Mammals of Europe. Springer, pp. 1-9.",NA,NA,NA,NA,NA,NA,NA
714,Pipistrellus_nathusii,CriticalFeedingAreasForest,Y,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
715,Pipistrellus_nathusii,CriticalFeedingAreasWoodedRiparianHabitat,Y,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
716,Pipistrellus_nathusii,CriticalFeedingAreasWetland,Y,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
717,Pipistrellus_nathusii,CriticalFeedingAreasWaterBodies,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
718,Pipistrellus_nathusii,CriticalFeedingAreasGrassland,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
719,Pipistrellus_nathusii,CriticalFeedingAreasHedgerows,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
720,Pipistrellus_nathusii,CriticalFeedingAreasOrchard,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
721,Pipistrellus_nathusii,CriticalFeedingAreasShrubland,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
722,Pipistrellus_nathusii,CriticalFeedingAreasOpenHabitat,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
723,Pipistrellus_nathusii,CriticalFeedingAreasUrbanParKGarden,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
724,Pipistrellus_pipistrellus,CriticalFeedingAreasForest,Y,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
725,Pipistrellus_pipistrellus,CriticalFeedingAreasWoodedRiparianHabitat,Y,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
726,Pipistrellus_pipistrellus,CriticalFeedingAreasWetland,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
727,Pipistrellus_pipistrellus,CriticalFeedingAreasWaterBodies,N,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
728,Pipistrellus_pipistrellus,CriticalFeedingAreasGrassland,Y,NA,NA,NA,Expert_evaluation,NA,NA,NA,NA,NA,Europe,Kyheröinen et al. (2019),"Kyheröinen, E.M., Aulagnier, S., Dekker, J., Dubourg-Savage, M.-J.,  Ferrer, B., Gazaryan, S., Georgiakakis, P., Hamidovic, D., Harbusch, C., Haysom, K., Jahelková, H., Kervyn, T., Koch, M., Lundy, M., Marnell, F., Mitchell-Jones, A., Pir, J., Russo, D., Schofield, H., Syvertsen, P.O. & Tsoar, A. (2019) Guidance on the conservation and management of critical feeding areas and commuting routes for bats. EUROBATS Publication Series No. 9. UNEP/EUROBATS Secretariat, Bonn, Germany, 109 pp.",NA,NA,NA,NA,NA,NA,NA
